"Refs","Value","Footprint","Qty","DNP"
"C1","100nF 275VAC","Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","1",""
"C2","470uF 16V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C3","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","22uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C9","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","SS34","Diode_SMD:D_SMA","1",""
"F1","1A 250V","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","1",""
"H1","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","1",""
"H2","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","1",""
"H3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","1",""
"H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","1",""
"J1","AC_IN (220V)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J2","SERVO_5V (PWM)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J_USB1","USB_TYPE_C","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1",""
"LED1","GREEN (5V)","LED_SMD:LED_0805_2012Metric","1",""
"LED2","BLUE (3.3V)","LED_SMD:LED_0805_2012Metric","1",""
"R1","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"R6","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"RT1","5D-9","Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P5.00mm","1",""
"RV1","07D471K","Varistor:RV_Disc_D7mm_W4mm_P5mm","1",""
"SW1","RESET","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"SW2","BOOT","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"U1","HLK-5M05","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-5Mxx","1",""
"U2","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3","ESP32-C3-WROOM-02","RF_Module:ESP32-C3-WROOM-02","1",""
