value,footprint,quantity,references
MountingHole_3.2mm,MountingHole:MountingHole_3.2mm,4,"['MH4', 'MH3', 'MH2', 'MH1']"
USB_B_Micro,Connector_USB:USB_Micro-B_Molex_47346-0001,1,['J1']
330,Resistor_SMD:R_0805_2012Metric,8,"['R7', 'R4', 'R3', 'R8', 'R9', 'R5', 'R6', 'R10']"
SMAJ5.0A,Diode_SMD:D_SMA,1,['D2']
10k,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,1,['RV1']
10uF,Capacitor_SMD:C_1206_3216Metric,2,"['C3', 'C1']"
Bit2,LED_SMD:LED_0805_2012Metric,1,['D5']
10nF,Capacitor_SMD:C_0805_2012Metric,1,['C4']
1k,Resistor_SMD:R_0805_2012Metric,4,"['R1', 'R2', 'R_PWR', 'R_CLK']"
RESET,Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92,1,['SW_RST']
Bit4,LED_SMD:LED_0805_2012Metric,1,['D7']
Bit6,LED_SMD:LED_0805_2012Metric,1,['D9']
Bit1,LED_SMD:LED_0805_2012Metric,1,['D4']
PWR_LED,LED_SMD:LED_0805_2012Metric,1,['D_PWR']
NE555D,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,['U1']
Bit5,LED_SMD:LED_0805_2012Metric,1,['D8']
500mA,Fuse:Fuse_1206_3216Metric,1,['F1']
10k,Resistor_SMD:R_0805_2012Metric,1,['R_PULL_RST']
CLK_LED,LED_SMD:LED_0805_2012Metric,1,['D_CLK']
Bit3,LED_SMD:LED_0805_2012Metric,1,['D6']
100nF,Capacitor_SMD:C_0805_2012Metric,3,"['C2', 'C_DEC2', 'C_DEC1']"
SS14,Diode_SMD:D_SMA,1,['D1']
74HC590,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,1,['U2']
Bit0,LED_SMD:LED_0805_2012Metric,1,['D3']
Bit7,LED_SMD:LED_0805_2012Metric,1,['D10']
